"case_id","contributor","case_study","uncertainty","interdependency","multi_levels","volatility","overlaps","startyear_event","hazard","case_spatial_level","international_region","country","highlight","hazard_group","score_median","score_mean","score_sum","iso3c","continent","lon","lat","reference_url"
1,"Felicia Akinyemi","Drought and household food security in Botswana",4,5,5,3,5,NA,"drought","national",NA,"Botswana",FALSE,"Drought or wildfire",5,4.4,22,"BWA","Africa",25.9312,-24.6196,"https://doi.org/10.1007/s10712-022-09724-1"
2,"Patrick Wennström","Drought and pastoralist violence in Karamoja, Uganda 1989-2006",2,5,5,4,4,NA,"drought","subnational",NA,"Uganda",FALSE,"Drought or wildfire",4,4,20,"UGA","Africa",34.1308,2.9884,"https://doi.org/10.1007/s10113-024-02210-x"
3,"Anastasiya Shyrokaya","Drought in Northeast Brazil",4,5,5,3,3,NA,"drought","subnational",NA,"Brazil",FALSE,"Drought or wildfire",4,4,20,"BRA","Americas",-38.9034,-5.2627,"https://doi.org/10.5194/egusphere-2023-2726"
4,"Riccardo Biella","Europe 2022 drought and Europe 2018 drought",3,5,5,2,3,2018,"drought","multi-national","Europe",NA,FALSE,"Drought or wildfire",3,3.6,18,"LTU","Europe",25.3851,54.7642,"https://egusphere.copernicus.org/preprints/2024/egusphere-2024-2069/; https://egusphere.copernicus.org/preprints/2024/egusphere-2024-2073/; https://doi.org/10.5194/nhess-22-2201-2022"
5,"Gabriele Messori","2016-18 drought in Maputo",3,5,5,2,1,2016,"drought","subnational",NA,"Mozambique",FALSE,"Drought or wildfire",3,3.2,16,"MOZ","Africa",32.5594,-25.8869,"https://doi.org/10.1038/s41558-022-01546-8"
6,"Claudia Canedo Rosso","Drought and Agricultural Production in the Central Andes",4,5,4,3,4,NA,"drought","subnational",NA,"Bolivia",FALSE,"Drought or wildfire",4,4,20,"BOL","Americas",-67.692,-18.6257,"https://doi.org/10.1201/9780429346255"
7,"Claudia Canedo Rosso","Drought impact in the Bolivian Altiplano agriculture associated with El Niño Southern Oscillation using satellite imagery data",4,5,4,3,4,NA,"drought","subnational",NA,"Bolivia",FALSE,"Drought or wildfire",4,4,20,"BOL","Americas",-66.7226,-20.5323,"https://doi.org/10.5194/nhess-21-995-2021"
8,"Patrick Wennström","Southwestern Madagascar drought 2016-2022",4,5,3,4,3,2016,"drought","subnational",NA,"Madagascar",FALSE,"Drought or wildfire",4,3.8,19,"MDG","Africa",45.0124,-22.579,"https://www.acaps.org/fileadmin/Data_Product/Main_media/20220310_acaps_thematic_report_madagascar_food_security.pdf "
9,"Daniel Nohrstedt","Wildfire in Sweden 2018",2,3,5,4,3,2018,"wildfire","national",NA,"Sweden",FALSE,"Drought or wildfire",3,3.4,17,"SWE","Europe",15.1558,62.3886,"https://doi.org/10.1016/j.gloenvcha.2016.10.004"
10,"Daniel Nohrstedt","Fort McMurray wildfire (Canada), 2016",2,3,4,3,4,2016,"wildfire","subnational",NA,"Canada",FALSE,"Drought or wildfire",3,3.2,16,"CAN","Americas",-114.4055,54.9859,"https://doi.org/10.1007/s10113-019-01546-z; https://doi.org/10.1016/j.gloenvcha.2023.102729; https://www.taylorfrancis.com/chapters/edit/10.4324/9780429244308-2/upscaling-collaborative-crisis-management-daniel-nohrstedt-julia-baird-%C3%B6rjan-bodin-ryan-plummer-robert-summers"
11,"Jeanne Fernandez","Wildfire risk management in Bolivia",1,2,4,1,3,NA,"wildfire","subnational",NA,"Bolivia",FALSE,"Drought or wildfire",2,2.2,11,"BOL","Americas",-61.4639,-17.2878,"https://doi-org.ezproxy.its.uu.se/10.1111/geoj.12261"
12,"Jeanne Fernandez","2018 Camp Fire in Paradise, California",5,2,1,1,1,2018,"wildfire","subnational",NA,"USA",FALSE,"Drought or wildfire",1,2,10,"USA","Americas",-121.5998,39.6668,"https://doi.org/10.1016/j.scitotenv.2021.147057"
13,"Charles Parker","Volcanic Ash Cloud (EU) 2010, 2011",3,5,5,4,5,2010,"volcanic activity","multi-national","EU",NA,TRUE,"Earthquake or volcanic activity",5,4.4,22,"BEL","Europe",4.3674,50.8364,"https://doi.org/10.1111/padm.12003; https://doi.org/10.1111/geoa.12078"
14,"Lina M Eriksson","The 2004 Indian Ocean Tsunami: failed governemnt response",1,5,5,1,5,2004,"earthquake","multi-national","Indian Ocean",NA,FALSE,"Earthquake or volcanic activity",5,3.4,17,"SWE","Europe",17.999,59.3149,"https://doi.org/10.1080/17457289.2024.2395353"
15,"Steffi Burchardt","Reydarartindur pluton",4,5,5,4,4,2021,"volcanic activity","subnational",NA,"Iceland",FALSE,"Earthquake or volcanic activity",4,4.4,22,"ISL","Europe",-14.6776,64.6781,"https://doi.org/10.1038/s41598-023-50880-0"
16,"Valentin Troll; Frances Deegan","La Palma Volcano Eruption 2021",4,5,4,3,4,2021,"volcanic activity","subnational",NA,"Spain",FALSE,"Earthquake or volcanic activity",4,4,20,"ESP","Europe",-17.0209,28.3135,"https://doi.org/10.1111/gto.12388"
17,"Claudia Merli","Volcanic ash risk and protection, Merapi, Indonesia",3,5,3,3,5,NA,"volcanic activity","subnational",NA,"Indonesia",FALSE,"Earthquake or volcanic activity",3,3.8,19,"IDN","Asia",110.3744,-7.8033,"https://doi.org/10.1080/02757206.2020.1799788"
18,"Frances Deegan; Valentin Troll","Iceland eruptions 2021 - 2023 and beyond?",4,5,3,2,4,2021,"volcanic activity","subnational",NA,"Iceland",FALSE,"Earthquake or volcanic activity",4,3.6,18,"ISL","Europe",-22.3108,63.9304,"https://doi.org/10.1038/s41467-022-31348-7"
19,"Claudia Merli","The 2004 Indian Ocean Tsunami",5,4,5,4,5,2004,"earthquake","subnational",NA,"Thailand",FALSE,"Earthquake or volcanic activity",5,4.6,23,"THA","Asia",98.7265,8.3578,"https://doi.org/10.7227/HRV.1.1.2"
20,"Helena Hermansson","Earthquakes Van Ercis (Turkey) 2011",2,3,5,3,4,2011,"earthquake","subnational",NA,"Turkey",FALSE,"Earthquake or volcanic activity",3,3.4,17,"TUR","Asia",43.6383,38.4736,"https://doi.org/10.1080/01900692.2018.1466898"
21,"Shakti Raj Shrestha","2015 Earthquake in Nepal and subsequent blockade by India",1,3,1,5,1,2015,"earthquake","national",NA,"Nepal",FALSE,"Earthquake or volcanic activity",1,2.2,11,"NPL","Asia",85.3496,27.7279,"https://doi.org/10.1016/j.erss.2020.101609"
22,"Claudia Merli","COVID-19 pandemic: Japan",2,5,4,2,5,2020,"epidemic","national",NA,"Japan",FALSE,"Epidemic",4,3.6,18,"JPN","Asia",139.4471,35.7116,"https://doi.org/10.21463/shima.163"
23,"Giuliano Di Baldassarre","COVID-19 Pandemic in Sweden and Italy",4,5,4,5,4,2020,"epidemic","comparative",NA,"Italy; Sweden",FALSE,"Epidemic",4,4.4,22,"ITA","Europe",12.5719,41.9238,"https://doi.org/10.3390/ijerph19052500"
24,"Bahre Kiros","Climate variability and sanitation outcomes (Ethiopia)",3,5,4,1,3,NA,"epidemic","national",NA,"Ethiopia",FALSE,"Epidemic",3,3.2,16,"ETH","Africa",38.7855,8.9805,"https://www.afdb.org/en/documents/working-paper-382-climate-variability-and-its-impact-sanitation-facility-choice-evidence-ethiopia"
25,"Elena Mondino","Public risk perception under COVID-19 in Italy and Sweden",3,4,5,3,4,2020,"epidemic","comparative",NA,"Italy; Sweden",FALSE,"Epidemic",4,3.8,19,"ITA","Europe",12.5719,41.9238,"https://doi.org/10.1038/s41597-020-00778-7"
26,"Daniel Nohrstedt","Ebola epidemic (West Africa), 2014",2,4,5,4,3,2014,"epidemic","multi-national","West Africa","Guinea; Sierra Leone; Liberia",TRUE,"Epidemic",4,3.6,18,"GIN","Africa",-10.7019,9.1809,"https://doi.org/10.1111/disa.12238"
27,"Charles Parker","COVID-19 Pandemic: USA, 2020",4,4,4,5,4,2020,"epidemic","national",NA,"USA",FALSE,"Epidemic",4,4.2,21,"USA","Americas",-77.0154,38.9086,"https://doi.org/10.1111/padm.12843"
